param_n_estimators,param_max_depth,param_min_samples_split,mean_train_score,mean_test_score,mean_fit_time,overfitting_gap
50,5,2,0.9951677270098322,0.956078248719143,0.2268681049346924,0.039089478290689206
100,5,2,0.993849045691151,0.9596180717279925,0.35904083251953123,0.03423097396315844
200,5,2,0.9934094852515905,0.9596025461884802,0.6300664901733398,0.033806939063110275
50,5,5,0.9934094852515905,0.9596180717279925,0.14997458457946777,0.033791413523597935
100,5,5,0.9934094852515905,0.9578636857630801,0.29118666648864744,0.03554579948851033
200,5,5,0.9929699248120301,0.9596180717279925,0.560449743270874,0.03335185308403754
50,10,2,1.0,0.9543238627542306,0.14862146377563476,0.045676137245769355
100,10,2,1.0,0.9560937742586555,0.281503963470459,0.04390622574134451
200,10,2,1.0,0.9578481602235678,0.5535384178161621,0.04215183977643222
50,10,5,0.9969250048197417,0.9631268436578171,0.14488353729248046,0.03379816116192458
100,10,5,0.9960458839406208,0.9596180717279925,0.2710112571716309,0.03642781221262825
200,10,5,0.9964854443801812,0.9613569321533924,0.5034067153930664,0.03512851222678881
50,,2,1.0,0.9543238627542306,0.1553720474243164,0.045676137245769355
100,,2,1.0,0.9560937742586555,0.2863804817199707,0.04390622574134451
200,,2,1.0,0.9578481602235678,0.5454949855804443,0.04215183977643222
50,,5,0.9969250048197417,0.9631268436578171,0.12570610046386718,0.03379816116192458
100,,5,0.9960458839406208,0.9596180717279925,0.2498539447784424,0.03642781221262825
200,,5,0.9964854443801812,0.9613569321533924,0.4563290596008301,0.03512851222678881
